| p     | p           | w       | ZT 105  | Xs 105  |
| ---   | ---         | ---     | ---     | ---     | ---   |
| (MPa) | (kmol.m -s) | (m.s 1) | (MPa 1) | (MPa-X) |
| 100   | 28.104      | 1393.35 | 719.58  | 457.90  | 1.571 |
| 150   | 37.134      | 1542.77 | 435.79  | 282.67  | 1.542 |
| 200   | 44.497      | 1674.74 | 303.24  | 200.19  | 1.515 |
| 250   | 50.755      | 1793.45 | 228.12  | 153.04  | 1.491 |
| 300   | 56.187      | 1901.57 | 180.72  | 122.97  | 1.470 |
| 350   | 60.991      | 2001.02 | 148.47  | 102.30  | 1.451 |
| 400   | 65.293      | 2093.24 | 125.28  | 87.33   | 1.435 |
| 450   | 69.184      | 2179.31 | 107.91  | 76.03   | 1.419 |
| 500   | 72.745      | 2260.10 | 94.47   | 67.24   | 1.405 |
| 550   | 76.048      | 2336.29 | 83.79   | 60.19   | 1.392 |
| 600   | 79.129      | 2408.44 | 75.13   | 54.43   | 1.380 |
| 650   | 81.989      | 2477.01 | 67.97   | 49.66   | 1.369 |
| 700   | 84.699      | 2542.37 | 61.97   | 45.64   | 1.358 |
| 750   | 87.268      | 2604.85 | 56.88   | 42.19   | 1.348 |
| 800   | 89.667      | 2664.73 | 52.51   | 39.24   | 1.338 |
| 850   | 91.988      | 2722.24 | 48.72   | 36.65   | 1.329 |
| 900   | 94.199      | 2777.58 | 45.40   | 34.38   | 1.321 |
| 950   | 96.264      | 2830.94 | 42.48   | 32.38   | 1.312 |
| 1000  | 98.264      | 2882.46 | 39.89   | 30.60   | 1.304 |
