| T(K)    |
| ---     | ---     | ---     | ---             | ---             | ---                     | ---             | ---                     | ---     | ---     |
| p (MPa) | 298.15  | 273.15  | 248.12          | 223.17          | 198.15 173.15           | 148.15          | 123.10                  | 98.10   |
| 100     | 1393.35 | 1368.80 | 1344.92         | 1320.50         | 1297.84                 | 1282.32 1256.36 | 1240.14                 | 1229.98 |
| 150     | 1542.77 | 1523.13 | 1504.81 1485.66 | 1470.01 1457.02 | 1443.67                 | 1435.79         | 1433.14                 |
| 200     | 1674.74 | 1659.57 | 1644.28         | 1629.59         | 1618.51 1608.28 1601.40 | 1598.11 1599.69 |
| 250     | 1793.45 | 1781.09 | 1768.60         | 1757.39         | 1749.50                 | 1741.66         | 1738.48 1737.98 1742.00 |
| 300     | 1901.57 | 1891.16 | 1881.15         | 1872.56         | 1867.01 1861.11 1860.24 | 1861.54         | 1866.97                 |
| 350     | 2001.02 | 1992.10 | 1984.21 1977.57 | 1973.80         | 1969.42                 | 1970.12         | 1972.62                 | 1978.84 |
| 400     | 2093.24 | 2085.52 | 2079.42         | 2074.23         | 2071.85                 | 2068.67         | 2070.48                 | 2073.81 | 2080.44 |
| 450     | 2179.31 | 2t72.62 | 2168.03         | 2163.93         | 2162.64                 | 2160.39         | 2163.04                 | 2166.93 | 2173~74 |
| 500     | 2260.10 | 2254.29 | 2250.97         | 2247.70         | 2247.28                 | 2245.75         | 2249.05                 | 2253.33 | 2260.18 |
| 550     | 2336.29 | 2331.26 | 2329.00         | 2326.38         | 2326.64                 | 2325.69         | 2329.49                 | 2334.03 | 2340.84 |
| 600     | 2408.44 | 2404.10 | 2402.73         | 2400.63         | 2401.43                 | 2400.92         | 2405.13                 | 2409.83 | 2416.55 |
| 650     | 2477.01 | 2473.28 | 2472.64         | 2470.99         | 2472.20                 | 2472.05         | 2476.58                 | 2481.36 | 2487.98 |
| 700     | 2542.37 | 2539.18 | 2539.16         | 2537.90         | 2539.42                 | 2539.56         | 2544.34                 | 2549.15 | 2555.66 |
| 750     | 2604.85 | 2602.13 | 2602.62         | 2601.72         | 2603.48                 | 2603.84         | 2608.81                 | 2613.61 | 2620.01 |
| 800     | 2664.73 | 2662.41 | 2663.33         | 2662.78         | 2664.69                 | 2665.24         | 2670.35                 | 2675.10 | 2681.41 |
| 850     | 2722.24 | 2720.26 | 2721.53         | 2721.33         | 2723.33                 | 2724.04         | 2729.24                 | 2733.91 |
| 900     | 2777.58 | 2775.89 | 2777.44         | 2777.61         | 2779.63                 | 2780.49         | 2785.73                 | 2790.30 |
| 950     | 2830.94 | 2829.47 | 2831.25         | 2831.81         | 2833.81                 | 2834.79         | 2840.04                 |
| t000    | 2882.46 | 2881.16 | 2883.13         | 2884.11         | 2886.03                 | 2887.13         |
